epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,918.941,0.73953,0.45576,0.87347,0.97632,0.92105,0.97265,0.82004,0.65681,0.408,0.83472,0.0004853,0.0004853,0.0004853
155,924.902,0.73273,0.45202,0.8715,0.96992,0.93222,0.97305,0.82016,0.6559,0.40935,0.83477,0.0004754,0.0004754,0.0004754
156,930.814,0.72035,0.44951,0.8736,0.96727,0.93421,0.97147,0.82052,0.66039,0.40713,0.83505,0.0004655,0.0004655,0.0004655
157,936.744,0.71371,0.44471,0.87124,0.96137,0.93421,0.97238,0.82129,0.65795,0.4108,0.83529,0.0004556,0.0004556,0.0004556
158,942.665,0.74097,0.45802,0.87486,0.96589,0.93719,0.97354,0.82231,0.65747,0.40809,0.83455,0.0004457,0.0004457,0.0004457
159,948.626,0.72691,0.45141,0.87039,0.96858,0.93301,0.97352,0.82322,0.65127,0.40659,0.8341,0.0004358,0.0004358,0.0004358
160,954.563,0.72041,0.44763,0.87189,0.96999,0.92982,0.97188,0.82421,0.64742,0.41,0.83406,0.0004259,0.0004259,0.0004259
161,960.508,0.71733,0.44953,0.87492,0.95215,0.94417,0.9721,0.82649,0.64526,0.40387,0.83334,0.000416,0.000416,0.000416
162,966.478,0.69953,0.43799,0.86828,0.96524,0.93381,0.97179,0.82731,0.644,0.40874,0.8332,0.0004061,0.0004061,0.0004061
163,972.472,0.72113,0.44854,0.87089,0.96698,0.93415,0.9735,0.82547,0.6446,0.41063,0.83306,0.0003962,0.0003962,0.0003962
164,978.439,0.71243,0.44386,0.86888,0.9628,0.93581,0.97451,0.82601,0.63953,0.4056,0.83188,0.0003863,0.0003863,0.0003863
165,984.408,0.71459,0.44488,0.87046,0.96112,0.93639,0.97447,0.82504,0.64724,0.40481,0.8335,0.0003764,0.0003764,0.0003764
166,990.392,0.71116,0.44202,0.86724,0.95055,0.94269,0.97194,0.82698,0.64122,0.40722,0.83274,0.0003665,0.0003665,0.0003665
167,996.326,0.70148,0.43804,0.86808,0.95782,0.94019,0.97181,0.82801,0.63886,0.40268,0.83212,0.0003566,0.0003566,0.0003566
168,1002.32,0.71707,0.44308,0.86876,0.96119,0.93824,0.97341,0.8275,0.64358,0.4028,0.833,0.0003467,0.0003467,0.0003467
169,1008.26,0.71767,0.44585,0.86962,0.95876,0.94179,0.97347,0.83033,0.63411,0.39713,0.83095,0.0003368,0.0003368,0.0003368
170,1014.22,0.71723,0.44525,0.87146,0.96295,0.94304,0.97329,0.82861,0.63157,0.4007,0.8305,0.0003269,0.0003269,0.0003269
171,1020.17,0.70304,0.44068,0.871,0.9651,0.9373,0.9745,0.82916,0.63272,0.39914,0.8312,0.000317,0.000317,0.000317
172,1026.15,0.71246,0.44022,0.86751,0.96726,0.93064,0.97399,0.8285,0.63768,0.40038,0.83187,0.0003071,0.0003071,0.0003071
173,1032.12,0.71491,0.44561,0.86925,0.96747,0.93581,0.97467,0.82919,0.63387,0.39674,0.83112,0.0002972,0.0002972,0.0002972
174,1038.1,0.69789,0.43705,0.8676,0.96926,0.93022,0.97368,0.83056,0.62738,0.39607,0.83081,0.0002873,0.0002873,0.0002873
175,1044.11,0.6962,0.43239,0.86486,0.9666,0.93381,0.97238,0.83143,0.62819,0.39631,0.83005,0.0002774,0.0002774,0.0002774
176,1050.07,0.70712,0.44021,0.86847,0.9744,0.92578,0.97119,0.83034,0.63021,0.39654,0.8303,0.0002675,0.0002675,0.0002675
177,1056.02,0.70101,0.43812,0.86501,0.96196,0.9378,0.97317,0.83323,0.62401,0.39506,0.82895,0.0002576,0.0002576,0.0002576
178,1062.01,0.70466,0.43996,0.86649,0.96421,0.94258,0.97211,0.83158,0.62444,0.39347,0.83024,0.0002477,0.0002477,0.0002477
179,1067.98,0.70135,0.43767,0.86607,0.96173,0.94177,0.97257,0.83382,0.62089,0.39318,0.82933,0.0002378,0.0002378,0.0002378
180,1073.96,0.68756,0.4315,0.86538,0.97059,0.93102,0.97512,0.83496,0.62243,0.39345,0.8294,0.0002279,0.0002279,0.0002279
181,1079.9,0.69096,0.43517,0.86909,0.95954,0.94099,0.97447,0.83097,0.62698,0.39704,0.82956,0.000218,0.000218,0.000218
